Fri, 22 May 2009 07:06:36 INFO Load CPTLOINC Map
Fri, 22 May 2009 07:06:36 INFO Total 186 CPT_Loinc_map records in file
Fri, 22 May 2009 07:06:37 INFO Done on saving into esp_cptloincmap table.
Fri, 22 May 2009 07:12:45 INFO Done on Adding new loinc to esp_lx table
Fri, 22 May 2009 07:12:45 INFO deleted cptcmpt_list and dic
Fri, 22 May 2009 07:12:45 INFO ## Correct CPTLOINC Map in esp_lx table
Fri, 22 May 2009 07:12:45 INFO # got all case objects
Fri, 22 May 2009 07:12:45 INFO # created caselxid_dict of len 3552
Fri, 22 May 2009 07:12:45 INFO # created cptmap of len 186
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827692
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827739
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827825
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827830
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827863
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827926
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63828093
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63828341
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63828954
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63829172
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63829207
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63829427
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63829432
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63829538
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63829540
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63829683
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63830341
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63830672
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63830815
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63831635
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63832199
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63832496
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63832580
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63832707
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63832751
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63832781
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63833141
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63833291
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63833840
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63834847
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63834977
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63943610
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63955742
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63958562
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63959957
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63962835
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63963121
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64024203
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64093388
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64096750
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64101545
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64104312
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64105148
Fri, 22 May 2009 07:28:11 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=64107602
